一 ○ 四 年 度 公 路 平 均 每 日 交 通 量 調 查 統 計 表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
填報單位：交通部公路總局第五區養護工程處,,,,,,,,,,,,,,,,,,,,,,,,,,,    調查週期：定期按年辦理,,
縣,調      查      站,,,,路,起 迄 地 名,起 迄 樁 號,"地
形","里
程","路
面
寬
度","方
向",車道佈設,,,總        計,,各  車  種  車  輛  數  (輛/日),,,,,,,尖峰小時,,方,備,,
,,,,"N23'34'9.7""",,,,,,,南,"3.4,3.5",0,2.2,"8,827 ","16,996 ","11,331","4,790 ",76 ,43 ,0 ,2 ,"6,420 ",851 ,07-08,,,,
澎湖縣,Ⅲ-607,中屯,8K+500,"E119'36'40.0""",203線,東衛~通梁,4K+000~20K+000,平原區,16,18.2,北,"3.4,3.5",0,2.1,"5,558 ","105,472 ","6,592","3,523 ",149 ,60 ,0 ,2 ,"2,858 ",667 ,17-18,0.51,,,
,,,,"N23'36'31.1""",,,,,,,南,"3.4,3.5",0,2.1,"5,248 ","100,448 ","6,278","3,296 ",105 ,69 ,0 ,2 ,"2,806 ",524 ,08-09,,,,
澎湖縣,Ⅲ-608,合界,24K+540,"E119'31'48.8""",203線,通梁~外垵,20K+000~36K+297,平原區,16.3,16.4,北,"3.4,4.2",0,0.5,"2,128 ","40,799 ","2,503","1,360 ",66 ,25 ,0 ,0 ,"1,052 ",245 ,16-17,0.52,,,
,,,,"N23'38'13.1""",,,,,,,南,"3.4,4.2",0,0.5,"2,258 ","44,043 ","2,702","1,372 ",72 ,25 ,0 ,0 ,"1,233 ",247 ,10-11,,,,
,,,,,,合計,,,36.3,,,,,," 39,675 "," 345,780 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,Ⅲ-609,中正國中,2K+150,"E119'35'56.4""",204線,朝陽~烏崁,0K+000~5K+000,平原區,5,15.2,東,"3.5,3.5",0,0.5,"10,508 ","63,955 ","12,791","6,239 ",181 ,122 ,0 ,27 ,"6,222 ","1,017 ",07-08,0.52,,,
,,,,"N23'33'33.0""",,,,,,,西,"3.5,3.5",0,0.5,"11,541 ","69,310 ","13,862","7,121 ",194 ,159 ,0 ,24 ,"6,364 ","1,146 ",07-08,,,,
澎湖縣,Ⅲ-610,隘門,7K+200,"E119'38'19.2""",204線,烏崁~龍門,5K+000~10K+957,平原區,6,12.3,東,3.4,2.0,0.7,"3,436 ","24,762 ","4,127","2,018 ",35 ,159 ,0 ,29 ,"1,886 ",668 ,07-08,0.51,,,
,,,,"N23'33'46.5""",,,,,,,西,3.4,2.0,0.6,"3,553 ","26,184 ","4,364","2,097 ",35 ,130 ,0 ,30 ,"2,072 ",0 ,0 ,,,,
,,,,,,合計,,,11.0,,,,,," 29,038 "," 184,211 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,Ⅲ-611,東文,2K+800,"E119'35'4.5""",205線,馬公~外東門,0K+000~4K+000,平原區,4,16,北,"3.4,3.2",0,0.8,"2,191 ","11,168 ","2,792","1,152 ",34 ,27 ,0 ,0 ,"1,579 ",226 ,07-08,0.56,,,
,,,,"N23'33'43.5""",,,,,,,南,"3.2,3.2",0,0.8,"1,713 ","8,612 ","2,153",959 ,24 ,18 ,0 ,0 ,"1,152 ",185 ,07-08,,,,
澎湖縣,Ⅲ-612,前寮,5K+500,"E119'35'17.3""",205線,外東門~興仁,4K+000~7K+632,平原區,3.6,16,北,"3.4,3.5",0,1.0,"1,777 ","7,952 ","2,209","1,080 ",9 ,12 ,0 ,0 ,"1,108 ",272 ,07-08,0.53,,,
,,,,"N23'33'14.1""",,,,,,,南,"3.4,3.5",0,1.0,"1,592 ","6,919 ","1,922","1,025 ",13 ,18 ,0 ,0 ,866 ,171 ,17-18,,,,
,,,,,,合計,,,7.6 ,,,,,,"7,273","34,651",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
